Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Budget
The Bayleaf,"79 Gregory's Road Colombo 7, Colombo 00700 Sri Lanka","Gregory's Road Colombo 7, Colombo 00700","[' 1,385 ', '  3,956']",Italian,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, Drinks","Seating, Parking Available, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Delivery, Takeout, Reservations, Outdoor Seating, Private Dining, Accepts Credit Cards, Table Service, Highchairs Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d1077847-Reviews-The_Bayleaf-Colombo_Western_Province.html,Low
Crab Factory,"25, Galle Face Center Road, Colombo Sri Lanka","Galle Face Center Road, Colombo 00300","[' 4,000 ', '  16,000']","Seafood, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d13567894-Reviews-Crab_Factory-Colombo_Western_Province.html,Medium
Beach Wadiya,"2 Station Ave Wellawatta, Colombo 00600 Sri Lanka","Station Ave Wellawatta, Colombo 00600","[' 2,967 ', '  5,935']",Sri Lankan,Vegetarian Friendly,"Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Waterfront, Beach",https://www.tripadvisor.com/Restaurant_Review-g293962-d1132747-Reviews-Beach_Wadiya-Colombo_Western_Province.html,Medium
Cloud Cafe,"32 Alfred House Avenue Colombo Courtyard, Colombo 00300 Sri Lanka","Alfred House Avenue Colombo Courtyard, Colombo 00300","[' 593 ', '  2,967']","Bar, Fusion","Vegetarian Friendly, Vegan Options","Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Parking Available, Serves Alcohol, Full Bar, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d3635026-Reviews-Cloud_Cafe-Colombo_Western_Province.html,Low
California Grill,"Hotel Galadari, 64, Lotus Road, Colombo Sri Lanka","Hotel Galadari, Lotus Road, Colombo ","[' 1,978 ', '  2,967']","Seafood, International, European, Grill",Vegetarian Friendly,"Dinner, Lunch","Reservations, Seating, Parking Available, Validated Parking, Full Bar, Private Dining, Wheelchair Accessible, Serves Alcohol, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1113764-Reviews-California_Grill-Colombo_Western_Province.html,Low
Geek HQ,"17A Frankfort Place, Colombo 00400 Sri Lanka","Frankfort Place, Colombo 00400 ","[' 500 ', '  1,000']","Chinese, Japanese, American, Sri Lankan",Vegetarian Friendly,"Lunch, Dinner","Takeout, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15335724-Reviews-Geek_HQ-Colombo_Western_Province.html,Low
Sri Suryas,"255, Sea Street, Colombo 11, Colombo Sri Lanka","Sea Street, Colombo 11, Colombo","[' 1000 ', '  20 000']","Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner","Takeout, Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d6367079-Reviews-Sri_Suryas-Colombo_Western_Province.html,Medium
Culture Colombo,"No 25 Kensington Gardens, Colombo 00400 Sri Lanka","Kensington Gardens, Colombo 00400","[' 500 ', '  4,500']","Asian, Sri Lankan, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch","Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Accepts Credit Cards, Table Service, Wine and Beer, Free Wifi",https://www.tripadvisor.com/Restaurant_Review-g293962-d15111352-Reviews-Culture_Colombo-Colombo_Western_Province.html,Low
Cafe Beverly,"475/C, Sri Jayawardenapura Mawatha Rajagiriya, Colombo 10107 Sri Lanka","Sri Jayawardenapura Mawatha Rajagiriya, Colombo 10107","[' 1,385 ', '  4,946']","Indian, Cafe, Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch","Takeout, Reservations, Seating, Parking Available, Television, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Table Service, Outdoor Seating, Highchairs Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d7912390-Reviews-Cafe_Beverly-Colombo_Western_Province.html,Low
Colombo Fort Cafe,"Old Dutch Hospital Complex, Echelon Square, Colombo Sri Lanka","Old Dutch Hospital Complex, Echelon Square, Colombo","[' 600 ', '  30 000']","Cafe, European, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch, Drinks","Outdoor Seating, Seating, Street Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Takeout, Reservations, Wheelchair Accessible, Accepts Credit Cards, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d3506257-Reviews-Colombo_Fort_Cafe-Colombo_Western_Province.html,Medium
Curry Pot,"314/1a Kollupitiya Road Marine Drive, Colombo 00300 Sri Lanka"," Kollupitiya Road Marine Drive, Colombo 00300","[' 1000 ', '  20 000']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options",Lunch,"Seating, Takeout",https://www.tripadvisor.com/Restaurant_Review-g293962-d9765787-Reviews-Curry_Pot-Colombo_Western_Province.html,Medium
Dwaraka,"37, Jayashree Road Marine Drive, Colombo Sri Lanka","Jayashree Road Marine Drive, Colombo ","[' 600 ', '  10 000']","Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch, Breakfast","Takeout, Seating, Table Service, Reservations",https://www.tripadvisor.com/Restaurant_Review-g293962-d9717623-Reviews-Dwaraka-Colombo_Western_Province.html,Medium
Paradise Road Cafe,"213 Dharmapala Mawatha Cinnamon Gardens, Colombo Sri Lanka","Dharmapala Mawatha Cinnamon Gardens, Colombo ","[' 700 ', '  20 000']","Cafe, European",Vegetarian Friendly,"Lunch, Breakfast, Dinner","Outdoor Seating, Seating, Parking Available, Validated Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133596-Reviews-Paradise_Road_Cafe-Colombo_Western_Province.html,Medium
The Lagoon,"77 Galle Road Cinnamon Grand Colombo, Colombo Sri Lanka","Cinnamon Grand Colombo, Colombo ","[' 500 ', '  20 000']","Seafood, Spanish, Scottish, Sri Lankan, Asian",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19338085-Reviews-The_Lagoon-Colombo_Western_Province.html,Medium
Next Innings,"Old Dutch Hospital, Colombo Sri Lanka","Old Dutch Hospital, Colombo ","[' 800 ', '  20 000']","Bar, Pub, Pizza","Vegetarian Friendly, Vegan Options, Gluten Free Options",Dinner,"Seating, Television, Serves Alcohol, Table Service, Reservations, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d15645176-Reviews-Next_Innings-Colombo_Western_Province.html,Medium
Arabian Knights,"377 Galle Road, Kollupitiya Colombo 3 (Opposite Amana Bank), Colombo 01000 Sri Lanka",Kollupitiya Colombo 3,"[' 1,978 ', '  2,967']","Middle Eastern, Lebanese","Vegetarian Friendly, Halal","Lunch, Dinner, Late Night","Highchairs Available, Delivery, Takeout, Reservations, Seating, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Table Service, Parking Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d3671098-Reviews-Arabian_Knights-Colombo_Western_Province.html,Low
Bowl'd,"30 Sea View Avenue, Colombo 00300 Sri Lanka","Sea View Avenue, Colombo 00300","[' 1000 ', '  30 000']","Cafe, Asian, Contemporary, Fusion","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch","Delivery, Takeout, Seating, Table Service, Reservations, Street Parking, Free off-street parking, Free Wifi, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d15263775-Reviews-Bowl_d-Colombo_Western_Province.html,Medium
The Grill - The Kingsbury,"The Kingsbury Janadhipathi Mawatha, Colombo Sri Lanka","The Kingsbury Janadhipathi Mawatha, Colombo","[' 1000 ', '  20 000']",European,"Vegetarian Friendly, Vegan Options","Dinner, Lunch, Brunch","Reservations, Seating, Table Service, Highchairs Available, Serves Alcohol",https://www.tripadvisor.com/Restaurant_Review-g293962-d11700027-Reviews-The_Grill_The_Kingsbury-Colombo_Western_Province.html,Medium
The 1864,"2 Galle Road, Colombo 00300 Sri Lanka","Galle Road, Colombo 00300","[' 1000 ', '  20 000']",European,Vegetarian Friendly,Dinner,"Reservations, Seating, Parking Available, Serves Alcohol, Table Service, Private Dining, Validated Parking, Valet Parking, Full Bar",https://www.tripadvisor.com/Restaurant_Review-g293962-d1132601-Reviews-The_1864-Colombo_Western_Province.html,Medium
Dao Krua Thai,"618 Colombo - Galle Main Rd, Colombo 00300 Sri Lanka","Colombo - Galle Main Rd, Colombo 00300 ","[' 1000 ', '  20 000']","Thai, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service, Takeout",https://www.tripadvisor.com/Restaurant_Review-g293962-d12949347-Reviews-Dao_Krua_Thai-Colombo_Western_Province.html,Medium
Shelton Sea Food Restaurant,"43/16 College Avenue, Dehiwala-Mount Lavinia Sri Lanka","College Avenue, Dehiwala-Mount Lavinia","[' 1000 ', '  20 000']","Sri Lankan, Seafood, Asian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch, Dinner","Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11808380-Reviews-Shelton_Sea_Food_Restaurant-Colombo_Western_Province.html,Medium
Hotel De Pilawoos,"417 Galle Road Kollupitiya, Colombo 00300 Sri Lanka","Galle Road Kollupitiya, Colombo 00300","[' 500 ', '  20 000']","Fast Food, Asian, Sri Lankan","Vegetarian Friendly, Halal","Breakfast, Lunch, Dinner, Late Night","Reservations, Wheelchair Accessible, Takeout, Seating, Street Parking, Free off-street parking, Cash Only, Table Service, Buffet, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d1051312-Reviews-Hotel_De_Pilawoos-Colombo_Western_Province.html,Medium
Cafe Japan,"No. 25 Borella Cross Road, Colombo 00800 Sri Lanka","Borella Cross Road, Colombo 00800 ","[' 1000 ', '  20 000']","Japanese, Asian, Sushi","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d3334515-Reviews-Cafe_Japan-Colombo_Western_Province.html,Medium
Milk and Honey Cafe,"44a Horton Place, Colombo Sri Lanka","Horton Place, Colombo","[' 1000 ', '  20 000']",Cafe,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Breakfast, Lunch","Accepts Visa, Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Accepts American Express, Accepts Mastercard, Reservations, Wheelchair Accessible",https://www.tripadvisor.com/Restaurant_Review-g293962-d8126231-Reviews-Milk_and_Honey_Cafe-Colombo_Western_Province.html,Medium
Ask For Fern,"32B Sir Mohamed Macan Marker Mawatha The entrance is through The Little Flower Shop, Colombo 00300 Sri Lanka","Ask For Fern, Colombo,00300","[' 10 ', '  30']",Asian,Vegetarian Friendly,"Dinner, Late Night, Drinks","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Street Parking, Free off-street parking",https://www.tripadvisor.com/Restaurant_Review-g293962-d14784597-Reviews-Ask_For_Fern-Colombo_Western_Province.html,Low
Fire and Ice Pizzeria,"4 9a Glen Aber Place, Bambalapitiya, Colombo, Colombo 00300 Sri Lanka","Glen Aber Place, Bambalapitiya, Colombo, Colombo 00300","[' 1,000 ', '  2,000']","Italian, Pizza, European","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Outdoor Seating, Street Parking, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15360371-Reviews-Fire_and_Ice_Pizzeria-Colombo_Western_Province.html,Low
Agra,"100/10 Sri Lanka Foundation Mw Off Independence Avenue,, Colombo Sri Lanka","Sri Lanka Foundation Mw Off Independence Avenue,, Colombo","[' 1000 ', '  20 000']","Indian, Asian","Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner, Late Night","Takeout, Reservations, Private Dining, Seating, Parking Available, Wheelchair Accessible, Table Service, Serves Alcohol, Full Bar, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d1008005-Reviews-Agra-Colombo_Western_Province.html,Medium
PappaRich,"33 Park Street Parkland Building, Colombo 00200 Sri Lanka","Park Street Parkland Building, Colombo 00200","[' 550 ', '  1,600']","Asian, Malaysian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d16843695-Reviews-PappaRich-Colombo_Western_Province.html,Low
Café Français,"Park Street 48 Park Street, Colombo 00200 Sri Lanka","Park Street, Colombo 00200 ","[' 3,956 ', '  9,891']","French, Cafe, International, European, Gastropub","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Drinks, Late Night","Outdoor Seating, Parking Available, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Street Parking, Wine and Beer, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d6852019-Reviews-Cafe_Francais-Colombo_Western_Province.html,Medium
Kiku Colombo,"32 A1, Dickmans Rd, Colombo 00500 Sri Lanka","Dickmans Rd, Colombo 00500 ","[' 950 ', '  1,500']","Japanese, European, Fusion, Cafe","Vegetarian Friendly, Vegan Options","Lunch, Breakfast, Dinner","Seating, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15656473-Reviews-Kiku_Colombo-Colombo_Western_Province.html,Low
One Up all Day Breakfast & Coffee,"330 Galle Road, Colombo 00400 Sri Lanka","Galle Road, Colombo 00400 ","[' 1000 ', '  20 000']",Cafe,"Vegetarian Friendly, Gluten Free Options, Vegan Options","Breakfast, Lunch, Brunch","Outdoor Seating, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11773719-Reviews-One_Up_all_Day_Breakfast_Coffee-Colombo_Western_Province.html,Medium
Tsing Tao,"Mini Stand, Race Course Promenade Reid Avenue, Cinnamon Gardens, Colombo 07., Colombo 00700 Sri Lanka","Mini Stand, Race Course Promenade Reid Avenue, Cinnamon Gardens, Colombo 07., Colombo 00700 ","[' 1,978 ', '  3,956']","Chinese, Asian",Vegetarian Friendly,"Dinner, Lunch, Late Night, Drinks","Full Bar, Takeout, Reservations, Parking Available, Street Parking, Free off-street parking, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Seating, Digital Payments, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d4224333-Reviews-Tsing_Tao-Colombo_Western_Province.html,Low
Nara Thai Sri Lanka,"03 #3, Deal Place, Colombo, Colombo 00300 Sri Lanka","Deal Place, Colombo, Colombo 00300 ","[' 600 ', '  20 000']","Asian, Thai, Soups","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Seating, Parking Available, Validated Parking, Highchairs Available, Free Wifi, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10539402-Reviews-Nara_Thai_Sri_Lanka-Colombo_Western_Province.html,Medium
The Avenue,"No. 24 Alfred Avenue, Colombo 00300 Sri Lanka","Alfred Avenue, Colombo 00300 ","[' 1,978 ', '  19,782']","Steakhouse, American, European","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Drinks","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Serves Alcohol, Full Bar, Table Service, Street Parking, Wine and Beer, Accepts Credit Cards, Family style",https://www.tripadvisor.com/Restaurant_Review-g293962-d19366620-Reviews-The_Avenue-Colombo_Western_Province.html,Medium
Baillie Street Merchants,"15 Mudalige Mawatha, Colombo Fort, Colombo 00100 Sri Lanka","Mudalige Mawatha, Colombo Fort, Colombo 00100","[' 1000 ', '  20 000']","Steakhouse, Bar, European, Sri Lankan",Vegan Options,"Dinner, Late Night, Drinks","Reservations, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Parking Available, Valet Parking, Free off-street parking, Wine and Beer",https://www.tripadvisor.com/Restaurant_Review-g293962-d15314665-Reviews-Baillie_Street_Merchants-Colombo_Western_Province.html,Medium
Tsukiji Uoichi,"No. 30, Arcade Independence Square, Independence Square 1F Clock Tower Bldg., Colombo Sri Lanka","Arcade Independence Square, Independence Square 1F Clock Tower Bldg., Colombo ","[' 1,978 ', '  5,935']","Sushi, Japanese, Asian, Seafood",Vegan Options,"Lunch, Dinner, Drinks","Takeout, Reservations, Seating, Parking Available, Validated Parking, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Table Service, Highchairs Available, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d7219450-Reviews-Tsukiji_Uoichi-Colombo_Western_Province.html,Medium
Asylum Restaurant & Lounge Bar,"Arcade Independence Square, Colombo 07, Colombo Sri Lanka","Arcade Independence Square, Colombo 07, Colombo ","[' 1000 ', '  20 000']","Bar, European, Fusion","Vegan Options, Vegetarian Friendly","Lunch, Dinner, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d7202025-Reviews-Asylum_Restaurant_Lounge_Bar-Colombo_Western_Province.html,Medium
Belmio Pizza,"544 Madiwela Rd, Thalawathugoda, Colombo Sri Lanka","Madiwela Rd, Thalawathugoda, Colombo ","[' 700 ', '  1,600']","Italian, Pizza","Vegetarian Friendly, Vegan Options",Dinner,"Delivery, Takeout, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10265422-Reviews-Belmio_Pizza-Colombo_Western_Province.html,Low
Grand Monarch,"527/7, Borella Road, Thalawathugoda, Colombo 10116 Sri Lanka","Borella Road, Thalawathugoda, Colombo 10116 ","[' 1000 ', '  40 000']","Chinese, Indian, International, Fusion, Wine Bar","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks","Takeout, Reservations, Seating, Parking Available, Validated Parking, Television, Highchairs Available, Table Service, BYOB",https://www.tripadvisor.com/Restaurant_Review-g293962-d8333177-Reviews-Grand_Monarch-Colombo_Western_Province.html,Medium
The Verandah,"3 2 Galle Road, Colombo Galle Face Hotel, Colombo 00300 Sri Lanka","Galle Road, Colombo Galle Face Hotel, Colombo 00300 ","[' 1000 ', '  20 000']","Sri Lankan, Barbecue, Asian",Vegan Options,"Breakfast, Lunch, Dinner","Reservations, Seating, Parking Available, Wheelchair Accessible, Table Service, Outdoor Seating, Highchairs Available, Waterfront",https://www.tripadvisor.com/Restaurant_Review-g293962-d12505869-Reviews-The_Verandah-Colombo_Western_Province.html,Medium
Min Han,"14 Deanston Place, Colombo Sri Lanka","Deanston Place, Colombo","[' 1000 ', '  40 000']","Chinese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d3209307-Reviews-Min_Han-Colombo_Western_Province.html,Medium
Loft Lounge Bar,"32 Alfred House Ave Colombo Courtyard, Colombo Sri Lanka","Alfred House Ave Colombo Courtyard, Colombo ","[' 1,583 ', '  1,978']",Bar,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Late Night,"Serves Alcohol, Full Bar, Reservations, Seating, Parking Available, Valet Parking, Television, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Takeout, Wheelchair Accessible, Accepts Credit Cards, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d3780510-Reviews-Loft_Lounge_Bar-Colombo_Western_Province.html,Low
Blue Field Tea Center,"# 54 Haig Road, Colombo 00400 Sri Lanka","Haig Road, Colombo 00400 ","[' 1000 ', '  20 000']",Cafe,Vegetarian Friendly,"Lunch, Dinner, Drinks","Takeout, Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12404554-Reviews-Blue_Field_Tea_Center-Colombo_Western_Province.html,Medium
The VoV (VoV7),"07 30/81a, Longdon Place, Colombo Malalasekara Mawatha,, Colombo 00700 Sri Lanka","Longdon Place, Colombo Malalasekara Mawatha,, Colombo 00700","[' 593 ', '  1,780']","Italian, American, Cafe, Asian, Diner, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Drinks","Seating, Delivery, Takeout, Outdoor Seating, Private Dining, Street Parking, Free off-street parking, Free Wifi, Accepts Credit Cards, Family style",https://www.tripadvisor.com/Restaurant_Review-g293962-d13614086-Reviews-The_VoV_VoV7-Colombo_Western_Province.html,Low
Stella Karaoke Lounge and Bar,"2 Sir Chittampalam A Gardiner MW, Colombo 00200 Sri Lanka","Sir Chittampalam A Gardiner MW, Colombo 00200","[' 989 ', '  2,967']","Bar, Pub",Nonveg,"Drinks, Dinner","Reservations, Parking Available, Valet Parking, Free off-street parking, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Accepts Discover, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10451585-Reviews-Stella_Karaoke_Lounge_and_Bar-Colombo_Western_Province.html,Low
Flag & Whistle Restarant & Pub,"15 256, Srimath Ramanathan Mawatha, Colombo 5th floor, Setmil Maritime Centre, Colombo 01500 Sri Lanka","Srimath Ramanathan Mawatha, Colombo 5th floor, Setmil Maritime Centre, Colombo 01500 ","[' 1000 ', '  20 000']","Bar, Pub, International, European, Fusion",Vegetarian Friendly,"Dinner, Lunch, Late Night","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Serves Alcohol, Full Bar, Takeout, Television, Highchairs Available, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d795555-Reviews-Flag_Whistle_Restarant_Pub-Colombo_Western_Province.html,Medium
Ward 7,"57 Ward Place Roof Top, Jetwing Colombo Seven, Colombo 00700 Sri Lanka","Ward Place Roof Top, Jetwing Colombo Seven, Colombo 00700 ","[' 1000 ', '  20 000']",Pub,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch, Brunch, Late Night, Drinks","Reservations, Seating, Serves Alcohol, Table Service, Outdoor Seating, Television, Highchairs Available, Wheelchair Accessible, Wine and Beer, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d12840221-Reviews-Ward_7-Colombo_Western_Province.html,Medium
Michaelangelo Pizza,"530 Nawala Road Rajagiriya, Colombo 01100 Sri Lanka","Nawala Road Rajagiriya, Colombo 01100 ","[' 396 ', '  989']","Pizza, Italian",Vegetarian Friendly,"Dinner, Drinks","Delivery, Takeout, Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d7355231-Reviews-Michaelangelo_Pizza-Colombo_Western_Province.html,Low
88 Chinese Seafood House,"No 98/1 Havelock Road, Colombo 00300 Sri Lanka","Havelock Road, Colombo 00300","[' 1000 ', '  40 000']","Chinese, Asian, Seafood","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch, Late Night","Takeout, Reservations, Seating, Delivery, Serves Alcohol",https://www.tripadvisor.com/Restaurant_Review-g293962-d2139877-Reviews-88_Chinese_Seafood_House-Colombo_Western_Province.html,Medium
Arpico Supercentre,"Hyde Park Corner, Colombo Sri Lanka","Hyde Park Corner, Colombo","[' 500 ', '  1,400']","Sri Lankan, Barbecue, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Drinks","Takeout, Wheelchair Accessible",https://www.tripadvisor.com/Restaurant_Review-g293962-d10198038-Reviews-Arpico_Supercentre-Colombo_Western_Province.html,Low
Health House,"2B Reid Avenue, Race Course, Colombo 00700 Sri Lanka","Reid Avenue, Race Course, Colombo 00700","[' 8 ', '  300']","Healthy, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Takeout, Seating, Accepts Credit Cards, Table Service, Delivery, Parking Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d15528873-Reviews-Health_House-Colombo_Western_Province.html,Low
Street Burger,"34 Ramya Road, Colombo 00400 Sri Lanka","Ramya Road, Colombo 00400","[' 1000 ', '  40 000']","Fast Food, American","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Delivery, Takeout, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d12682789-Reviews-Street_Burger-Colombo_Western_Province.html,Medium
Yaal,"Marine Drive Wellawatta, Colombo Sri Lanka","Marine Drive Wellawatta, Colombo ","[' 400 ', '  3,000']","Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Seating, Television, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d4564394-Reviews-Yaal-Colombo_Western_Province.html,Low
Travellers' Bar,"2 Galle Road, Colombo Sri Lanka","Galle Road, Colombo","[' 989 ', '  2,967']","Bar, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Serves Alcohol, Reservations, Seating, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12523607-Reviews-Travellers_Bar-Colombo_Western_Province.html,Low
Havelock Place Bungalow,"No. 6-8 Havelock Place, Colombo Sri Lanka","Havelock Place, Colombo","[' 1000 ', '  20 000']","Sri Lankan, Asian, Fusion","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Takeout, Reservations, Seating, Parking Available, Television, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Full Bar, Accepts Credit Cards, Table Service, Free off-street parking, Wine and Beer, BYOB",https://www.tripadvisor.com/Restaurant_Review-g293962-d6501016-Reviews-Havelock_Place_Bungalow-Colombo_Western_Province.html,Medium
The Four Leafed Clover,"168 Maya Avenue, Colombo 00500 Sri Lanka","Maya Avenue, Colombo 00500","[' 1,000 ', '  6,000']","Irish, Bar, European",Vegetarian Friendly,"Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Serves Alcohol, Full Bar, Takeout, Television, Highchairs Available, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d14807732-Reviews-The_Four_Leafed_Clover-Colombo_Western_Province.html,Medium
The Floor By O!,"41 3/1 Maitland Crescent, Colombo 7, Colombo Sri Lanka","Maitland Crescent, Colombo 7, Colombo","[' 989 ', '  2,967']","Bar, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Late Night, Drinks","Reservations, Seating, Serves Alcohol, Full Bar, Table Service, Television, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d4574296-Reviews-The_Floor_By_O-Colombo_Western_Province.html,Low
